N Insercio Bombolla Fusio
69900 9.84 31.16 0.06
70000 9.77 31.02 0.06
70100 9.94 31.22 0.06
70200 9.80 31.26 0.06
70300 9.81 31.28 0.06
70400 9.90 31.70 0.06
70500 10.09 31.48 0.06
70600 9.89 31.70 0.06
70700 9.83 31.62 0.07
70800 9.91 31.66 0.06
70900 9.89 32.40 0.06
71000 9.98 32.02 0.06
71100 10.00 32.19 0.06
71200 10.06 31.92 0.06
71300 10.04 32.43 0.06
71400 10.10 32.49 0.06
71500 10.22 32.49 0.06
71600 10.03 33.29 0.06
71700 10.15 32.83 0.06
71800 10.12 32.68 0.06
71900 10.33 32.91 0.06
72000 10.35 33.08 0.06
72100 10.36 33.24 0.06
72200 10.39 32.88 0.06
72300 10.30 33.33 0.06
72400 10.32 33.21 0.06
72500 10.40 33.43 0.06
72600 10.34 33.49 0.06
72700 10.37 32.97 0.06
72800 10.43 33.38 0.06
72900 10.45 33.54 0.06
73000 10.43 33.46 0.06
73100 10.48 33.98 0.06
73200 10.61 34.28 0.06
73300 10.90 33.95 0.06
73400 10.61 34.26 0.06
73500 10.60 34.31 0.06
73600 10.75 34.10 0.06
73700 10.71 34.45 0.06
73800 10.79 34.61 0.06
73900 10.80 34.56 0.06
74000 10.90 34.46 0.06
74100 10.93 34.81 0.06
74200 10.89 34.80 0.06
74300 10.84 34.95 0.06
74400 10.94 34.86 0.06
74500 10.98 35.11 0.06
74600 10.90 34.97 0.06
74700 11.03 34.89 0.06
74800 11.02 35.10 0.06
74900 10.92 35.70 0.06
75000 11.12 35.35 0.06
75100 11.09 35.52 0.06
75200 11.18 35.84 0.06
75300 11.13 35.72 0.06
75400 11.27 36.05 0.06
75500 11.24 36.13 0.07
75600 11.30 36.39 0.06
75700 11.36 36.48 0.06
75800 11.43 36.29 0.06
75900 11.30 36.65 0.06
76000 11.66 36.51 0.06
76100 11.30 36.48 0.07
76200 11.39 36.90 0.06
76300 11.45 36.82 0.06
76400 11.51 36.81 0.06
76500 11.57 37.15 0.06
76600 11.43 36.80 0.06
76700 11.55 37.02 0.06
76800 11.74 37.23 0.06
76900 12.04 37.63 0.08
77000 11.66 37.45 0.06
77100 11.81 37.68 0.06
77200 11.72 37.23 0.06
77300 11.84 37.93 0.06
77400 11.79 38.18 0.06
77500 11.95 37.97 0.06
77600 11.95 37.80 0.07
77700 11.91 38.23 0.07
77800 11.99 38.95 0.06
77900 12.07 39.08 0.07
78000 11.92 38.10 0.06
78100 12.03 38.37 0.07
78200 12.01 38.67 0.07
78300 12.13 38.81 0.06
78400 12.11 38.81 0.07
78500 12.33 38.82 0.07
78600 12.06 38.85 0.06
78700 12.10 38.65 0.06
78800 12.13 39.00 0.07
78900 12.17 39.10 0.07
79000 12.29 39.57 0.07
79100 12.49 40.09 0.06
79200 12.03 38.75 0.06
79300 11.93 38.55 0.06
79400 12.27 39.04 0.06
79500 12.24 39.32 0.07
79600 12.07 39.28 0.06
79700 12.10 39.43 0.07
79800 12.37 39.39 0.07
79900 12.29 39.97 0.06
80000 12.36 39.11 0.06
80100 12.21 39.76 0.07
80200 12.35 39.02 0.07
80300 12.30 39.54 0.07
80400 12.32 39.42 0.06
80500 12.25 39.37 0.07
80600 12.45 39.45 0.07
80700 12.40 41.01 0.07
80800 12.53 40.25 0.07
80900 12.73 40.40 0.07
81000 12.78 41.24 0.07
81100 12.55 39.98 0.07
81200 12.55 40.04 0.07
81300 12.54 40.29 0.07
81400 12.59 40.21 0.07
81500 12.59 40.51 0.07
81600 12.63 40.61 0.07
81700 12.68 40.38 0.07
81800 12.78 40.85 0.07
81900 12.76 40.90 0.07
82000 12.78 41.17 0.07
82100 12.78 41.25 0.06
82200 12.88 41.29 0.07
82300 12.88 41.16 0.07
82400 12.96 41.39 0.07
82500 13.16 42.58 0.07
82600 13.10 42.06 0.07
82700 13.15 42.89 0.07
82800 13.86 44.41 0.08
82900 14.97 48.57 0.08
83000 15.19 48.37 0.08
83100 15.14 48.88 0.08
83200 15.26 49.02 0.08
83300 15.09 49.24 0.09
83400 15.30 49.08 0.08
83500 15.44 48.75 0.08
83600 15.19 48.82 0.08
83700 15.28 49.70 0.08
83800 15.56 50.64 0.09
83900 15.95 51.97 0.09
84000 16.47 51.61 0.08
84100 15.69 49.94 0.08
84200 15.64 51.82 0.08
84300 15.77 50.72 0.08
84400 15.68 51.08 0.08
84500 15.77 50.88 0.08
84600 15.59 50.47 0.08
84700 15.55 51.76 0.08
84800 15.92 50.70 0.08
84900 16.04 50.15 0.07
85000 14.19 45.59 0.07
85100 14.29 45.50 0.07
85200 14.30 45.79 0.07
85300 14.28 46.19 0.07
85400 15.64 48.49 0.08
85500 14.64 47.09 0.07
85600 14.86 46.56 0.07
85700 14.17 45.70 0.07
85800 14.18 45.75 0.07
85900 14.12 45.41 0.07
86000 14.45 45.92 0.07
86100 14.20 45.92 0.07
86200 14.28 46.08 0.07
86300 14.56 47.18 0.07
86400 14.48 45.71 0.07
86500 14.28 45.84 0.07
86600 14.31 46.06 0.07
86700 14.39 45.88 0.07
86800 14.46 46.18 0.07
86900 14.45 46.37 0.07
87000 14.87 46.86 0.07
87100 15.05 48.51 0.07
87200 14.57 47.30 0.07
87300 14.96 47.85 0.07
87400 15.01 48.11 0.08
87500 14.72 47.33 0.07
87600 14.98 47.71 0.08
87700 15.07 48.39 0.07
87800 14.95 48.74 0.08
87900 15.44 48.91 0.07
88000 15.22 47.95 0.07
88100 15.09 49.56 0.08
88200 15.48 49.65 0.08
88300 16.28 60.56 0.09
88400 18.70 59.63 0.09
88500 18.68 60.20 0.09
88600 18.78 58.13 0.07
88700 15.13 47.86 0.07
88800 15.32 48.18 0.07
88900 15.02 48.24 0.07
89000 15.01 47.97 0.07
89100 15.11 48.40 0.07
89200 15.16 48.37 0.07
89300 15.23 48.64 0.07
89400 15.21 48.92 0.07
89500 15.20 48.77 0.07
89600 15.27 48.88 0.07
89700 15.20 49.14 0.07
89800 15.23 48.79 0.07
89900 15.32 49.21 0.07
90000 15.32 48.95 0.07
90100 15.45 49.24 0.07
90200 15.36 49.31 0.07
90300 15.37 49.50 0.07
90400 15.48 49.65 0.07
90500 15.51 49.82 0.07
90600 15.52 50.02 0.07
90700 15.59 49.90 0.07
90800 15.62 50.18 0.07
90900 15.75 50.52 0.07
91000 15.76 50.52 0.07
91100 15.81 50.63 0.08
91200 15.84 50.37 0.08
91300 15.79 50.69 0.07
91400 15.84 50.99 0.08
91500 15.80 51.00 0.08
